Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
"COMMODITY EXCHANGE, INC.",,,,,,,,
,,,,,,,,
METAL DEPOSITORY STATISTICS,,,,,,,,
SILVER,,,,,,Report Date: 3/12/2026,,
Troy Ounce,,,,,,Activity Date: 3/11/2026,,
,,,,,,,,
DEPOSITORY,,PREV TOTAL,RECEIVED,WITHDRAWN,NET CHANGE,ADJUSTMENT,TOTAL TODAY,
,,,,,,,,
ASAHI DEPOSITORY LLC,,,,,,,,
  Registered,,22231922.592,0,0,0,0,22231922.592,
  Eligible,,2519599.518,0,0,0,0,2519599.518,
  Total,,24751522.11,0,0,0,0,24751522.11,
,,,,,,,,
"BRINK'S, INC.",,,,,,,,
  Registered,,11651846.571,0,0,0,0,11651846.571,
  Eligible,,40937395.329,0,0,0,0,40937395.329,
  Total,,52589241.900000006,0,0,0,0,52589241.900000006,
,,,,,,,,
"CNT DEPOSITORY, INC.",,,,,,,,
  Registered,,11785958.483,0,0,0,0,11785958.483,
  Eligible,,8695963.036,598969.33,0,598969.33,0,9294932.366,
  Total,,20481921.519,598969.33,0,598969.33,0,21080890.849,
,,,,,,,,
DELAWARE DEPOSITORY,,,,,,,,
  Registered,,1637870.342,0,0,0,0,1637870.342,
  Eligible,,15523445.02,0,0,0,0,15523445.02,
  Total,,17161315.362,0,0,0,0,17161315.362,
,,,,,,,,
"HSBC BANK, USA",,,,,,,,
  Registered,,3377178.65,0,0,0,0,3377178.65,
  Eligible,,17759436.593,0,16006.37,-16006.37,0,17743430.223,
  Total,,21136615.242999997,0,16006.37,-16006.37,0,21120608.873,
,,,,,,,,
INTERNATIONAL DEPOSITORY SERVICES OF DELAWARE,,,,,,,,
  Registered,,178515.19,0,0,0,0,178515.19,
  Eligible,,2800401.334,0,0,0,0,2800401.334,
  Total,,2978916.5239999997,0,0,0,0,2978916.5239999997,
,,,,,,,,
JP MORGAN CHASE BANK NA,,,,,,,,
  Registered,,11981013.97,0,0,0,0,11981013.97,
  Eligible,,140040192.783,0,0,0,0,140040192.783,
  Total,,152021206.753,0,0,0,0,152021206.753,
,,,,,,,,
LOOMIS INTERNATIONAL (US) LLC,,,,,,,,
  Registered,,4393566.397,0,0,0,0,4393566.397,
  Eligible,,25354067.746,0,0,0,0,25354067.746,
  Total,,29747634.143,0,0,0,0,29747634.143,
,,,,,,,,
"MALCA-AMIT ARMORED, INC.",,,,,,,,
  Registered,,0,0,0,0,0,0,
  Eligible,,0,0,0,0,0,0,
  Total,,0,0,0,0,0,0,
,,,,,,,,
"MALCA-AMIT USA, LLC",,,,,,,,
  Registered,,582110.337,0,0,0,0,582110.337,
  Eligible,,945167.377,0,0,0,0,945167.377,
  Total,,1527277.7140000002,0,0,0,0,1527277.7140000002,
,,,,,,,,
"MANFRA, TORDELLA & BROOKES, LLC",,,,,,,,
  Registered,,5412950.551,0,0,0,4667.506,5417618.057,
  Eligible,,8804112.631,0,1058679.682,-1058679.682,-4667.506,7740765.443,
  Total,,14217063.182,0,1058679.682,-1058679.682,0,13158383.5,
,,,,,,,,
STONEX PRECIOUS METALS LLC,,,,,,,,
  Registered,,5114529.49,258738.85,0,258738.85,0,5373268.34,
  Eligible,,2814557.93,0,0,0,0,2814557.93,
  Total,,7929087.42,258738.85,0,258738.85,0,8187826.27,
,,,,,,,,
TOTAL REGISTERED,,78347462.57299998,258738.85,0,258738.85,4667.506,78610868.92899999,
TOTAL ELIGIBLE,,266194339.297,598969.33,1074686.0520000001,-475716.72200000007,-4667.506,265713955.069,
COMBINED TOTAL,,344541801.87,857708.1799999999,1074686.0520000001,-216977.87200000006,0,344324823.998,
,,,,,,,,
,,,,,,,,
"The information in this report is taken from sources believed to be reliable; however, ",,,,,,,,
"the Commodity Exchange, Inc. disclaims all liability whatsoever with regard to its accuracy or completeness.",,,,,,,,
This report is produced for information purposes only.,,,,,,,,
,,,,,,,,
For questions regarding this report please email Registrar@cmegroup.com.,,,,,,,,
