Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
"COMMODITY EXCHANGE, INC.",,,,,,,,
,,,,,,,,
METAL DEPOSITORY STATISTICS,,,,,,,,
SILVER,,,,,,Report Date: 12/22/2025,,
Troy Ounce,,,,,,Activity Date: 12/19/2025,,
,,,,,,,,
DEPOSITORY,,PREV TOTAL,RECEIVED,WITHDRAWN,NET CHANGE,ADJUSTMENT,TOTAL TODAY,
,,,,,,,,
ASAHI DEPOSITORY LLC,,,,,,,,
  Registered,,32648132.71,0,0,0,0,32648132.71,
  Eligible,,7235849.9,0,589064.4,-589064.4,0,6646785.5,
  Total,,39883982.61,0,589064.4,-589064.4,0,39294918.21,
,,,,,,,,
"BRINK'S, INC.",,,,,,,,
  Registered,,25060318.405,0,0,0,0,25060318.405,
  Eligible,,35553236.525,0,0,0,0,35553236.525,
  Total,,60613554.93,0,0,0,0,60613554.93,
,,,,,,,,
"CNT DEPOSITORY, INC.",,,,,,,,
  Registered,,22386994.792,0,0,0,0,22386994.792,
  Eligible,,16368636.073,0,600000.25,-600000.25,0,15768635.823,
  Total,,38755630.865,0,600000.25,-600000.25,0,38155630.615,
,,,,,,,,
DELAWARE DEPOSITORY,,,,,,,,
  Registered,,2364305.928,0,0,0,0,2364305.928,
  Eligible,,15682425.048,0,10981.4,-10981.4,0,15671443.648,
  Total,,18046730.976,0,10981.4,-10981.4,0,18035749.576,
,,,,,,,,
"HSBC BANK, USA",,,,,,,,
  Registered,,4349139.1,0,0,0,0,4349139.1,
  Eligible,,22718008.204,0,0,0,0,22718008.204,
  Total,,27067147.303999998,0,0,0,0,27067147.303999998,
,,,,,,,,
INTERNATIONAL DEPOSITORY SERVICES OF DELAWARE,,,,,,,,
  Registered,,635240.035,0,0,0,0,635240.035,
  Eligible,,3280756.079,0,0,0,0,3280756.079,
  Total,,3915996.114,0,0,0,0,3915996.114,
,,,,,,,,
JP MORGAN CHASE BANK NA,,,,,,,,
  Registered,,16664842.39,0,0,0,0,16664842.39,
  Eligible,,173469548.063,0,1282399.5,-1282399.5,0,172187148.563,
  Total,,190134390.453,0,1282399.5,-1282399.5,0,188851990.953,
,,,,,,,,
LOOMIS INTERNATIONAL (US) LLC,,,,,,,,
  Registered,,3666755.595,0,0,0,0,3666755.595,
  Eligible,,35508844.764,0,600963.2,-600963.2,0,34907881.564,
  Total,,39175600.359,0,600963.2,-600963.2,0,38574637.159,
,,,,,,,,
"MALCA-AMIT ARMORED, INC.",,,,,,,,
  Registered,,0,0,0,0,0,0,
  Eligible,,0,0,0,0,0,0,
  Total,,0,0,0,0,0,0,
,,,,,,,,
"MALCA-AMIT USA, LLC",,,,,,,,
  Registered,,1460799.58,0,0,0,0,1460799.58,
  Eligible,,562732.861,0,0,0,0,562732.861,
  Total,,2023532.441,0,0,0,0,2023532.441,
,,,,,,,,
"MANFRA, TORDELLA & BROOKES, LLC",,,,,,,,
  Registered,,11364858.393,0,0,0,0,11364858.393,
  Eligible,,14283057.517,0,0,0,0,14283057.517,
  Total,,25647915.91,0,0,0,0,25647915.91,
,,,,,,,,
STONEX PRECIOUS METALS LLC,,,,,,,,
  Registered,,8015348.31,0,0,0,0,8015348.31,
  Eligible,,447064.71,0,0,0,0,447064.71,
  Total,,8462413.02,0,0,0,0,8462413.02,
,,,,,,,,
TOTAL REGISTERED,,128616735.238,0,0,0,0,128616735.238,
TOTAL ELIGIBLE,,325110159.74399996,0,3083408.75,-3083408.75,0,322026750.994,
COMBINED TOTAL,,453726894.982,0,3083408.75,-3083408.75,0,450643486.232,
,,,,,,,,
,,,,,,,,
"The information in this report is taken from sources believed to be reliable; however, ",,,,,,,,
"the Commodity Exchange, Inc. disclaims all liability whatsoever with regard to its accuracy or completeness.",,,,,,,,
This report is produced for information purposes only.,,,,,,,,
,,,,,,,,
For questions regarding this report please email Registrar@cmegroup.com.,,,,,,,,
